SHREECEM,23000,23072.9,22729.1,22833.05,23081.7,-248.65
CROMPTON,357.05,357.3,352.65,353.5,357.35,-3.85
LALPATHLAB,2389.9,2389.95,2316.05,2379,2405.8,-26.8
TATAELXSI,6990,6990.25,6893,6919.9,6999.5,-79.6
L&TFH,82.5,84.5,81.35,81.55,82.5,-0.95
DIXON,4521.05,4548,4478.7,4487.45,4539.85,-52.4
PAGEIND,49720,49720,48710.05,49000.15,49581.45,-581.3
ASIANPAINT,3086,3086,3045.75,3049.85,3086.5,-36.65
RECLTD,100.4,100.4,99,99.65,100.85,-1.2
AWL,684,688.2,678,680.5,688.7,-8.2
SYNGENE,613.3,622.5,611.05,611.95,619.35,-7.4
BANKBARODA,166,168.15,164.05,164.3,166.3,-2
BAJFINANCE,7158,7165,7051.2,7057.95,7144,-86.05
ABCAPITAL,129.95,133.5,128.9,129,130.6,-1.6
ADANIGREEN,2225,2245.35,2177,2188,2215.5,-27.5
ASHOKLEY,148.2,148.2,144.35,145.95,147.8,-1.85
SAIL,85,86.65,84.75,84.95,86.05,-1.1
JINDALSTEL,476.3,479.95,471.45,475.05,481.25,-6.2
VOLTAS,834.6,834.6,821.15,825.75,836.6,-10.85
MPHASIS,1939,1954.8,1922,1924,1949.65,-25.65
DLF,396.25,400.35,391.15,391.75,397.05,-5.3
POWERGRID,216,220.15,215.7,215.8,218.75,-2.95
ADANIPORTS,894,894,877.5,878.7,890.8,-12.1
MARUTI,9201,9250.75,9110.1,9127.45,9253.5,-126.05
APOLLOHOSP,4374.5,4377.45,4281,4301,4361.2,-60.2
GRASIM,1740,1740.1,1717.5,1721.2,1745.5,-24.3
NTPC,173.5,174.2,170.75,170.95,173.4,-2.45
SBIN,613.1,615.1,606,606.8,615.55,-8.75
SONACOMS,458.5,458.95,451.75,452.7,459.35,-6.65
PERSISTENT,3698.45,3706.75,3653,3656.45,3711,-54.55
SBICARD,813,813,802,802.25,814.25,-12
INDUSINDBK,1143,1157.8,1128,1132,1149,-17
IRCTC,762,763,748,749.55,761.25,-11.7
PNB,45,45.15,44.2,44.25,44.95,-0.7
ITC,359,359.9,354.1,355,360.7,-5.7
HONAUT,38718.7,39024.9,37500,37978.45,38595.75,-617.3
BAJAJHLDNG,6896.1,6931,6608.1,6763.75,6874.2,-110.45
CLEAN,1548,1548,1520,1527.5,1553.6,-26.1
JUBLFOOD,568,568.4,554.1,556.75,566.45,-9.7
BAJAJFINSV,1745,1756.9,1718.05,1722,1752.7,-30.7
BEL,108.05,108.5,105.75,106.1,108.05,-1.95
PATANJALI,1344.7,1348,1320,1323.95,1348.3,-24.35
YESBANK,16.5,16.5,16.25,16.25,16.55,-0.3
ICICIGI,1154,1159.95,1133.85,1134.55,1155.5,-20.95
ICICIPRULI,500,500.2,491.15,491.4,500.6,-9.2
TRENT,1495,1499.3,1466.05,1473.45,1501.75,-28.3
IEX,142.6,142.6,139.5,139.8,142.6,-2.8
SRF,2376,2378.65,2340,2344,2391.15,-47.15
DALBHARAT,1723,1732.45,1694.9,1696.95,1735.35,-34.4
BATAINDIA,1800.95,1811.45,1771.85,1775.4,1811.6,-36.2
NAM-INDIA,268.65,268.7,263.25,263.25,268.65,-5.4
BANDHANBNK,229,230,223.65,223.95,228.65,-4.7
BALKRISIND,1929,1929,1888,1894.6,1934.55,-39.95
NATIONALUM,73,73.85,72.3,72.55,74.1,-1.55
PIIND,3625,3675,3536.8,3546,3623.7,-77.7
TITAN,2710,2711.1,2628,2659,2718.1,-59.1
PAYTM,644,644,624.1,629.55,643.65,-14.1
FORTIS,281,281,275,275.15,281.4,-6.25
SBILIFE,1268.1,1268.1,1234.95,1235.5,1263.8,-28.3
GODREJCP,812.8,813.8,796,796.2,814.85,-18.65
POLICYBZR,388.8,388.8,378.95,380.85,389.95,-9.1
CANBK,311.85,314.9,305.65,306.3,314.1,-7.8
TRIDENT,39.1,39.25,37.55,37.8,38.8,-1
ATGL,3790,3820,3686.25,3696.75,3795.2,-98.45
HAL,2496,2500,2420,2436.55,2502.55,-66
